Depth,Core,Nitrogen,Carbon
60,3,0.5463,2.4656
7.5,1,1.7043,16.5555
7.5,2,1.6259,15.2046
7.5,3,1.4319,14.817
15,1,0.6927,8.0269
15,2,0.8683,9.5584
15,3,1.0129,9.8348
30,1,0.6473,4.7698
30,2,0.6405,4.8689
30,3,0.7388,4.5409
45,1,0.6646,2.8378
45,2,0.4616,2.3449
45,3,0.4813,2.5012
60,1,0.7,3
60,2,0.4499,1.5696
60,3,0.4435,2.224
7.5,1,1.9459,18.6759
7.5,2,1.8221,17.7039
7.5,3,2.067,19.3914
15,1,1.1467,10.8802
15,2,1.3397,11.2599
15,3,1.3014,12.3569
30,1,0.8149,7.4141
30,2,0.9284,7.671
30,3,0.79,6.52
45,1,0.5647,3.4076
45,2,0.6201,4.9019
45,3,0.5954,3.1714
60,1,0.7208,3.8172
60,2,0.8924,3.0636
60,3,0.63,3.01
7.5,1,2.1482,17.7552
7.5,2,1.9928,19.7194
7.5,3,1.6702,16.5714
15,1,1.3782,10.1712
15,2,1.4332,11.7368
15,3,1.3227,11.3964
30,1,0.6521,4.7468
30,2,1.1899,12.1591
30,3,1.0413,6.1322
45,1,0.6874,3.4024
45,2,0.72,4.8331
45,3,0.6179,2.4201
60,1,0.6896,3.2488
60,2,0.7898,3.3044
60,3,0.6576,3.0488
7.5,1,1.8942,21.324
7.5,2,1.6332,17.1975
7.5,3,1.6946,17.6893
15,1,1.7675,15.5153
15,2,1.0916,10.9491
15,3,1.1335,10.8922
30,1,0.8259,5.404
30,2,0.6576,4.5438
30,3,1.2534,6.7331
45,1,0.5846,3.1937
45,2,0.6752,3.1529
45,3,0.5985,2.9124
60,1,0.4581,2.1922
60,2,0.6077,2.7447
60,3,0.5328,1.62
7.5,1,1.1502,18.9799
7.5,2,1.6515,17.4014
7.5,3,1.9967,21.1024
15,1,1.2132,11.3792
15,2,1.2753,12.1073
15,3,1.4035,14.4962
30,1,1.2609,13.0104
30,2,1.0924,7.9272
30,3,0.837,8.5869
45,1,0.5075,3.6608
45,2,0.5609,4.154
45,3,0.532,5.9099
60,1,0.5342,4.4366
60,2,0.7115,6.041
60,3,0.5,2.25
7.5,1,2.201,18.8355
7.5,2,1.9085,19.519
7.5,3,1.8885,19.0366
15,1,1.33,11.4
15,2,1.4522,12.9805
15,3,1.1235,10.5347
30,1,1.4652,10.0701
